2.96	2.36721	2.46242	2.37042
2.98	2.36972	2.4678	2.373
3	2.37223	2.47325	2.37558
3.02	2.37473	2.47876	2.37815
3.04	2.37724	2.48434	2.38073
3.06	2.37974	2.48999	2.38331
3.08	2.38225	2.49571	2.38588
3.1	2.38475	2.50149	2.38846
3.12	2.38725	2.50735	2.39104
3.14	2.38975	2.51328	2.39361
3.16	2.39225	2.51928	2.39619
3.18	2.39475	2.52535	2.39876
3.2	2.39724	2.5315	2.40134
3.22	2.39974	2.53773	2.40391
3.24	2.40223	2.54403	2.40649
3.26	2.40472	2.55041	2.40906
3.28	2.40721	2.55687	2.41163
3.3	2.4097	2.56342	2.4142
3.32	2.41219	2.57004	2.41678
3.34	2.41468	2.57675	2.41935
3.36	2.41717	2.58354	2.42192
3.38	2.41965	2.59041	2.42449
3.4	2.42213	2.59737	2.42706
3.42	2.42462	2.60442	2.42963
3.44	2.4271	2.61156	2.4322
3.46	2.42958	2.61879	2.43477
3.48	2.43206	2.62611	2.43734
3.5	2.43453	2.63352	2.43991
3.52	2.43701	2.64102	2.44248
3.54	2.43948	2.64862	2.44504
3.56	2.44195	2.65632	2.44761
3.58	2.44442	2.66411	2.45018
3.6	2.44689	2.672	2.45274
3.62	2.44936	2.67999	2.45531
3.64	2.45183	2.68808	2.45787
3.66	2.4543	2.69628	2.46044
3.68	2.45676	2.70457	2.463
3.7	2.45922	2.71298	2.46556
3.72	2.46168	2.72149	2.46813
3.74	2.46414	2.7301	2.47069
3.76	2.4666	2.73883	2.47325
3.78	2.46906	2.74766	2.47581
3.8	2.47151	2.75661	2.47837
3.82	2.47397	2.76567	2.48093
3.84	2.47642	2.77484	2.48349
3.86	2.47887	2.78413	2.48605
3.88	2.48132	2.79354	2.48861
3.9	2.48377	2.80306	2.49116
3.92	2.48622	2.81271	2.49372
3.94	2.48866	2.82247	2.49628
3.96	2.4911	2.83236	2.49883
3.98	2.49355	2.84237	2.50139
4	2.49599	2.85251	2.50394
4.02	2.49843	2.86278	2.50649
4.04	2.50086	2.87317	2.50905
4.06	2.5033	2.88369	2.5116
4.08	2.50573	2.89434	2.51415
4.1	2.50817	2.90513	2.5167
4.12	2.5106	2.91605	2.51925
